CALL_ID,AGENT_NAME,CUSTOMER_NAME,CALL_DATE,TRANSCRIPT
CALL-1000,Stephanie Collins,Stephanie Hayes,2024-07-23,Agent: Hello! Thanks for calling our support. Customer: I'm having trouble logging into my account. Agent: I'll look into the issue right away. Customer: Thank you! Agent: Let us know if there's anything else we can help with.
CALL-1001,Stephanie Sutton,Matthew Smith,2024-12-29,Agent: Hello! Thanks for calling our support. Customer: I'm being charged incorrectly on my bill. Agent: I'll look into the issue right away. Customer: Thank you! Agent: Let us know if there's anything else we can help with.
CALL-1002,Susan Wagner,Kelsey Davis,2024-06-26,"Agent: Hi, how can I help you today? Customer: My order hasn't arrived yet. Agent: I'm really sorry to hear that. Let's get this fixed. Customer: Thank you! Agent: Thank you for calling. Have a great day!"
CALL-1003,Susan Levy,Caleb Clark,2024-06-10,"Agent: Good afternoon, how may I assist you? Customer: I need to reset my password but I'm not receiving the email. Agent: I'm really sorry to hear that. Let's get this fixed. Customer: Thank you! Agent: We appreciate your patience. Goodbye!"
CALL-1004,Jorge Sullivan,John Richards,2024-07-16,"Agent: Hi, how can I help you today? Customer: My order hasn't arrived yet. Agent: Let me guide you through the process. Customer: Thank you! Agent: Let us know if there's anything else we can help with."
CALL-1005,Jorge Sullivan,Danielle Castro,2024-10-26,Agent: Hello! Thanks for calling our support. Customer: My order hasn't arrived yet. Agent: I can help with that. Please hold on a moment. Customer: Thank you! Agent: Let us know if there's anything else we can help with.
CALL-1006,Susan Wagner,Hannah Wiggins,2024-09-24,Agent: Hello! Thanks for calling our support. Customer: I'm being charged incorrectly on my bill. Agent: I can help with that. Please hold on a moment. Customer: Thank you! Agent: We appreciate your patience. Goodbye!
CALL-1007,Norma Fisher,Hannah Wiggins,2024-09-18,"Agent: Hi, how can I help you today? Customer: I'm having trouble logging into my account. Agent: Let me guide you through the process. Customer: Thank you! Agent: Let us know if there's anything else we can help with."
CALL-1008,Norma Fisher,Richard Higgins,2024-11-29,Agent: Hello! Thanks for calling our support. Customer: My order hasn't arrived yet. Agent: I'm really sorry to hear that. Let's get this fixed. Customer: Thank you! Agent: Let us know if there's anything else we can help with.
CALL-1009,Theodore Mcgrath,Margaret Jones,2025-03-18,"Agent: Hi, how can I help you today? Customer: The product I received is damaged. Agent: I can help with that. Please hold on a moment. Customer: Thank you! Agent: Thank you for calling. Have a great day!"
